datetime,open,high,low,close,volume,symbol
2025-01-31 11:30:00,204.44000,205.17000,204.39999,204.69000,791972,GOOGL
2025-02-03 12:15:00,237.96,239.22,237.935,238.95,25591,AMZN
2025-02-03 12:00:00,237.89,238.11,237.54,238.03,37763,AMZN
2025-02-03 11:45:00,237.95,238.41,237.46,237.96,112065,AMZN
2025-02-03 11:30:00,237.08,237.94,236.8,237.93,44287,AMZN
2025-02-03 11:15:00,237.43,238.035,236.91,237.16,58313,AMZN
2025-02-03 11:00:00,236.34,237.425,235.85,237.39,75583,AMZN
2025-02-03 10:45:00,236.185,236.6,235.66,236.38,69932,AMZN
2025-02-03 10:30:00,235.27,236.305,234.8,236.305,95444,AMZN
2025-02-03 10:15:00,233.9,235.97,232.93,235.32,164616,AMZN
2025-02-03 10:00:00,235.04,235.335,233.72,233.9,92964,AMZN
2025-02-03 09:45:00,237.27,237.27,235.26,235.55,107406,AMZN
2025-02-03 09:30:00,233.61,238.215,233.61,237.285,195615,AMZN
2025-01-31 15:45:00,237.55000,238.30000,237,237.59000,2948450,AMZN
2025-01-31 15:30:00,237.22000,237.86000,237.13000,237.56000,944327,AMZN
2025-01-31 15:15:00,237.46001,237.71040,236.96001,237.20000,749607,AMZN
2025-01-31 15:00:00,238.15500,238.15500,237.029999,237.45500,712861,AMZN
2025-01-31 14:45:00,237.625,238.48000,236.92999,238.18500,767249,AMZN
2025-01-31 14:30:00,238.5,238.78000,237.52000,237.62000,619066,AMZN
2025-01-31 14:15:00,238.69000,238.94000,237.97000,238.51500,515219,AMZN
2025-01-31 14:00:00,238.66710,238.97000,237.95000,238.72000,729920,AMZN
2025-01-31 13:45:00,238.89500,239.050003,238.17999,238.67000,594097,AMZN
2025-01-31 13:30:00,239.57001,239.63499,238.36000,238.92999,845042,AMZN
2025-01-31 13:15:00,239.74500,240.28999,239.10001,239.63000,1085989,AMZN
2025-01-31 13:00:00,239.42000,240.21001,239.39000,239.75,858249,AMZN
2025-01-31 12:45:00,239.39999,239.78999,239.25,239.41000,436550,AMZN
2025-01-31 12:30:00,239.84000,239.87990,239.37000,239.41000,417852,AMZN
2025-01-31 12:15:00,239.48500,239.84000,239.25430,239.82001,493828,AMZN
2025-01-31 12:00:00,239.59000,239.73990,238.58000,239.48570,764140,AMZN
2025-01-31 11:45:00,239.25999,239.83000,239.19000,239.58000,692594,AMZN
2025-01-31 11:30:00,238.82001,239.48000,238.66000,239.25500,688155,AMZN
2025-02-03 12:15:00,699.84,701.09,698.59,699.73,9348,META
2025-02-03 12:00:00,699.57,699.92,698.04,699.83,18024,META
2025-02-03 11:45:00,699.71,701.75,698.82,699.92,35235,META
2025-02-03 11:30:00,696.67,699.495,695.275,699.495,8671,META
2025-02-03 11:15:00,697.58,699.19,697.215,697.33,14094,META
2025-02-03 11:00:00,697.51,699.42,695.42,697.5,18525,META
2025-02-03 10:45:00,695.075,698.43,694.01,697.85,17096,META
2025-02-03 10:30:00,691.815,695.95,690.68,695.36,19721,META
2025-02-03 10:15:00,685.79,692.75,684,691.87,33438,META
2025-02-03 10:00:00,692.65,693.05,684.97,685.53,29850,META
2025-02-03 09:45:00,696.4,696.43,691.315,694,49049,META
2025-02-03 09:30:00,675.585,696.995,675.29,696.995,62000,META
2025-01-31 15:45:00,687.71997,690.15997,686.75500,689.16998,1133241,META
2025-01-31 15:30:00,687.039978,688.14990,685.58002,687.50500,719981,META
2025-01-31 15:15:00,688.88000,689.40002,686.77002,686.92999,539474,META
2025-01-31 15:00:00,690.76001,690.86499,688.010010,689.020020,429048,META
2025-01-31 14:45:00,689.95752,691.5,688.29999,690.86322,510031,META
2025-01-31 14:30:00,692.87750,693.70001,689.58002,689.95502,543765,META
2025-01-31 14:15:00,696.54999,696.91699,692.21997,692.88501,565905,META
2025-01-31 14:00:00,697.37671,698.34003,693.95001,696.54999,536670,META
2025-01-31 13:45:00,695.70502,697.59637,695.22998,697.30011,297598,META
2025-01-31 13:30:00,694.59003,696.53998,692.84998,695.65778,526795,META
2025-01-31 13:15:00,697.17499,697.96002,694.5,694.59998,449582,META
2025-01-31 13:00:00,697.91998,699,697.12000,697.12000,274419,META
2025-01-31 12:45:00,697.49310,699.76501,696.59998,697.91998,373600,META
2025-01-31 12:30:00,699.50500,699.51001,697.21002,697.41998,295822,META
2025-01-31 12:15:00,700.21002,700.27502,698.57001,699.48077,312663,META
2025-01-31 12:00:00,702.375,702.5,699.61011,700.22681,375442,META
2025-01-31 11:45:00,700.15002,702.79999,699.69000,702.5,397245,META
2025-01-31 11:30:00,699.97998,700.31000,698.29578,700.12000,483225,META
2025-02-03 17:15:00,98640.63,99072.14,98478.17,98695.91,,BTC/USD
2025-02-03 17:00:00,98697.59,98744,98114.46,98644.43,,BTC/USD
2025-02-03 16:45:00,98953.1,99177.89,98650,98697.59,,BTC/USD
2025-02-03 16:30:00,98895.64,99199.99,98589.13,98953.1,,BTC/USD
2025-02-03 16:15:00,98645.66,99200,98364.03,98892.11,,BTC/USD
2025-02-03 16:00:00,99028.36,99246.27,98315.6,98645.67,,BTC/USD
2025-02-03 15:45:00,98815.17,99693.4,98718.32,99042.03,,BTC/USD
2025-02-03 15:30:00,98494.21,99159.21,97942.45,98815.18,,BTC/USD
2025-02-03 15:15:00,96854.83,98700,96700,98506.28,,BTC/USD
2025-02-03 15:00:00,96692.83,97096.71,96254,96854.83,,BTC/USD
2025-02-03 14:45:00,96273.55,96823.03,95708.18,96706.34,,BTC/USD
2025-02-03 14:30:00,94857.9,96614.62,94370.87,96252.46,,BTC/USD
2025-02-03 14:15:00,94571.65,94963.29,94310.33,94868.38,,BTC/USD
2025-02-03 14:00:00,94736.71,94811.42,94212.74,94571.66,,BTC/USD
2025-02-03 13:45:00,95431.12,95490.72,94723.95,94729.32,,BTC/USD
2025-02-03 13:30:00,94467.4,95490.82,94467.19,95431.15,,BTC/USD
2025-02-03 13:15:00,94815.11,95084.37,94435,94467.4,,BTC/USD
2025-02-03 13:00:00,94850,95211.46,94651.5,94802.44,,BTC/USD
2025-02-03 12:45:00,95325.4,95346.84,94849.2,94850,,BTC/USD
2025-02-03 12:30:00,95447.24,95513.26,95163.72,95329.79,,BTC/USD
2025-02-03 12:15:00,95382.22,95699.99,95304.46,95447.22,,BTC/USD
2025-02-03 12:00:00,95170.79,95405.61,95000,95382.23,,BTC/USD
2025-02-03 11:45:00,95177.36,95279.91,95007.19,95166.34,,BTC/USD
2025-02-03 11:30:00,95465.1,95466.72,95066.77,95174.82,,BTC/USD
